,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
10,recipe-infos__level__container--level-2,"[""['1.4l  de mûre'"", "" '80g  de sucre en poudre'"", "" '1cuillère à soupe  de farine'"", "" '1cuillère à café  de citron'"", "" '1pincée  de sel'"", "" '300g  de farine'"", "" '80g  de sucre en poudre'"", "" '2cuillère à café  de levure chimique'"", "" '1/2cuillère à café  de cannelle'"", "" '1/4cuillère à café  de sel'"", "" '1 oeuf'"", "" '12cl  de babeurre'"", "" '80g  de beurre'"", ' ""1/2cuillère à café  d\'extrait de vanille""]']",recipe-infos__level__container--level-1,Cobbler aux mûres (Etats-unis),10 personnes,1h05,Dessert,80,,1
11,recipe-infos__level__container--level-1,"[""['680g  de farine'"", "" '230g  de farine'"", "" '60g  de beurre'"", "" '1 oeuf'"", "" '1cuillère à café  de sel'"", "" '2cuillère à café  de bicarbonate'"", "" '1cuillère à café  de cassonade'"", "" '2cuillère à soupe  de mélasse'"", "" '700ml  de babeurre']""]",recipe-infos__level__container--level-1,Brown bread ( pain irlandais ),2 personnes,1h00,Accompagnement,700,,1
12,recipe-infos__level__container--level-1,"[""['300g  de farine'"", "" '2cuillère à café  de levure'"", "" '1/2cuillère à café  de bicarbonate'"", "" '2cuillère à café  de cacao'"", "" '150g  de sucre'"", "" '100g  de beurre'"", "" '50g  de chocolat noir'"", "" '1verre  de babeurre'"", "" '2 oeuf'"", "" '1grosse poignée  de noix'"", "" '100g  de chocolat']""]",recipe-infos__level__container--level-1,Délicieux muffins double chocolat - noix,8 personnes,00h35,Dessert,1,,2
13,recipe-infos__level__container--level-1,"[""['600g  de lieu noir'"", "" '400g  de champignon de Paris'"", "" '1 oignon'"", "" '15cl  de vin blanc'"", "" '15cl  de crème fraîche liquide'"", "" ' Poivre'"", "" ' Sel'"", "" ' Bouquet garni'"", "" ' Farine']""]",recipe-infos__level__container--level-1,Blanquette de poisson,4 personnes,00h40,Plat principal,0,Yes,0
14,recipe-infos__level__container--level-1,"[""['1kg  de veau'"", "" '1 cube de bouillon'"", "" '1 bouillon de poule'"", "" '2 carotte'"", "" '1 oignon jaune'"", "" '1petite boîte  de champignon'"", "" '1petit pot  de crème fraîche'"", "" ' Citron'"", ' ""1 jaune d\'oeuf""', "" ' Farine'"", "" '25cl  de vin blanc'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-2,Blanquette de veau facile,4 personnes,2h15,Plat principal,0,Yes,1
15,recipe-infos__level__container--level-2,"[""['1.2kg  de veau'"", "" '1 veau'"", "" '1 bouquet garni'"", "" '2 carotte'"", "" '1 oignon'"", "" ' Citron'"", "" '2cuillère à soupe  de farine'"", "" '2cuillère à soupe  de beurre'"", "" '50cl  de crème fraîche'"", ' ""1 jaune d\'oeuf""', "" ' Gros sel']""]",recipe-infos__level__container--level-2,Blanquette de veau de la Baronne,6 personnes,2h20,Plat principal,2,Yes,1
16,recipe-infos__level__container--level-1,"[""['1kg  de blanquette de veau'"", "" '1 oignon'"", "" '2 clou de girofle'"", "" '2 carotte'"", "" '250g  de champignon de Paris'"", "" '250g  de veau'"", "" '1 cube de bouillon'"", "" '1 bouquet garni'"", "" ' Poivre'"", "" ' Sel'"", ' ""1 jaune d\'oeuf""', "" '10cl  de crème fraîche'"", "" 'demi  de citron'"", "" '30g  de beurre'"", "" '30g  de farine']""]",recipe-infos__level__container--level-2,Blanquette de veau (de Marielle),4 personnes,1h25,Plat principal,30,Yes,1
17,recipe-infos__level__container--level-1,"[""['600g  de lieu noir'"", "" '400g  de champignon de Paris'"", "" '1 oignon'"", "" '15cl  de vin blanc'"", "" '15cl  de crème fraîche liquide'"", "" ' Poivre'"", "" ' Sel'"", "" ' Bouquet garni'"", "" ' Farine']""]",recipe-infos__level__container--level-1,Blanquette de poisson,4 personnes,00h40,Plat principal,0,Yes,0
18,recipe-infos__level__container--level-1,"[""['1kg  de veau'"", "" '1 cube de bouillon'"", "" '1 bouillon de poule'"", "" '2 carotte'"", "" '1 oignon jaune'"", "" '1petite boîte  de champignon'"", "" '1petit pot  de crème fraîche'"", "" ' Citron'"", ' ""1 jaune d\'oeuf""', "" ' Farine'"", "" '25cl  de vin blanc'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-2,Blanquette de veau facile,4 personnes,2h15,Plat principal,0,Yes,1
19,recipe-infos__level__container--level-2,"[""['1.2kg  de veau'"", "" '1 veau'"", "" '1 bouquet garni'"", "" '2 carotte'"", "" '1 oignon'"", "" ' Citron'"", "" '2cuillère à soupe  de farine'"", "" '2cuillère à soupe  de beurre'"", "" '50cl  de crème fraîche'"", ' ""1 jaune d\'oeuf""', "" ' Gros sel']""]",recipe-infos__level__container--level-2,Blanquette de veau de la Baronne,6 personnes,2h20,Plat principal,2,Yes,1
20,recipe-infos__level__container--level-1,"[""['1kg  de blanquette de veau'"", "" '1 oignon'"", "" '2 clou de girofle'"", "" '2 carotte'"", "" '250g  de champignon de Paris'"", "" '250g  de veau'"", "" '1 cube de bouillon'"", "" '1 bouquet garni'"", "" ' Poivre'"", "" ' Sel'"", ' ""1 jaune d\'oeuf""', "" '10cl  de crème fraîche'"", "" 'demi  de citron'"", "" '30g  de beurre'"", "" '30g  de farine']""]",recipe-infos__level__container--level-2,Blanquette de veau (de Marielle),4 personnes,1h25,Plat principal,30,Yes,1
21,recipe-infos__level__container--level-2,"[""['420g  de farine'"", "" '1/2cuillère à café  de sel'"", "" '4 oeuf'"", "" '4verre  de lait'"", "" '25g  de levure de boulanger'"", "" '60g  de beurre']""]",recipe-infos__level__container--level-1,Blinis faciles,6 personnes,00h15,Entrée,60,,4
22,recipe-infos__level__container--level-1,"[""['1 yaourt'"", "" '1 oeuf'"", "" '1pot  de yaourt'"", "" '1/2sachet  de levure chimique'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,Blinis faciles maison,4 personnes,00h25,Entrée,0,,1
23,recipe-infos__level__container--level-1,"[""['500g  de fraise'"", "" '30 boudoir'"", "" '5pot  de Gervita'"", "" ' Sucre'"", "" ' Alcool']""]",recipe-infos__level__container--level-1,Charlotte aux fraises,6 personnes,00h15,Dessert,0,,0
24,recipe-infos__level__container--level-1,"['[""400g  de gigot d\'agneau""', "" '1kg  de pomme de terre'"", "" '20g  de beurre'"", "" '1cuillère à soupe  de farine'"", "" ' Ail'"", "" ' Poivre'"", "" ' Sel'"", "" ' Eau'"", "" ' épaule']""]",recipe-infos__level__container--level-1,Trompe bonhomme,6 personnes,1h05,Plat principal,20,,0
25,recipe-infos__level__container--level-2,"[""['500g  de farine'"", "" '1sachet  de levure'"", "" '2 oeuf'"", "" '10cl  de lait'"", "" '125g  de beurre'"", "" ' Chocolat noir'"", "" '75g  de sucre en poudre']""]",recipe-infos__level__container--level-1,Jean bonhommes,8 personnes,00h45,Dessert,125,,2
26,recipe-infos__level__container--level-1,"[""['100g  de surimi'"", "" '1 oeuf'"", "" '4 tomate cerise'"", "" '2 olives noires'"", "" '1 mayonnaise']""]",recipe-infos__level__container--level-1,un bonhomme à croquer,2 personnes,00h5,Entrée,0,,1
27,recipe-infos__level__container--level-1,"[""['2 boudin blanc'"", "" '80g  de pomme'"", "" '2feuille  de gélatine']""]",recipe-infos__level__container--level-1,Bonhomme de neige en boudin,6 personnes,00h30,Amuse-gueule,0,,0
28,recipe-infos__level__container--level-1,"[""['125g  de chocolat noir'"", "" '125g  de beurre'"", "" '125g  de sucre'"", "" '4cuillère à soupe  de farine'"", "" '4 oeuf'"", "" '6cuillère à soupe  de lait']""]",recipe-infos__level__container--level-1,Brownies facile,6 personnes,00h45,Dessert,125,,4
29,recipe-infos__level__container--level-1,"[""['60g  de chocolat noir'"", "" '2 oeuf'"", "" '40g  de farine'"", "" '110g  de sucre'"", "" '1sachet  de sucre vanillé'"", "" '120g  de beurre'"", "" ' Noix de pécan']""]",recipe-infos__level__container--level-1,Brownie,4 personnes,00h30,Dessert,120,,2
30,recipe-infos__level__container--level-1,"[""['200g  de sucre'"", "" '4 oeuf'"", "" '100g  de farine'"", "" '200g  de beurre'"", "" '200g  de chocolat noir'"", "" '130g  de noix']""]",recipe-infos__level__container--level-1,Brownie rapide et facile,6 personnes,00h45,Dessert,200,,4
31,recipe-infos__level__container--level-2,"[""['200g  de chocolat noir'"", "" '80g  de beurre'"", "" '80g  de sucre'"", "" '5 oeuf']""]",recipe-infos__level__container--level-2,Brownies faciles,6 personnes,00h50,Dessert,80,,5
32,recipe-infos__level__container--level-3,"[""['250g  de farine'"", "" '125g  de beurre'"", ' ""5cl  d\'eau""', ' ""1 jaune d\'oeuf""', "" '3cuillère à soupe  de sucre'"", "" '1/2cuillère à café  de sel'"", "" '4 citron'"", "" '75g  de beurre'"", "" '150g  de sucre'"", "" '3 oeuf'"", "" '1cuillère à soupe  de maïzena'"", "" '250g  de mascarpone'"", "" '75g  de sucre glace'"", "" '2cuillère à soupe  de limoncello'"", "" '1 citron'"", ' ""2 blanc d\'oeuf""', "" '1pincée  de sel'"", "" '75g  de sucre']""]",recipe-infos__level__container--level-2,Tiracitron (équation gourmande de Claire et Hervé Cuisine),6 personnes,1h30,Dessert,75,,2
33,recipe-infos__level__container--level-1,"['[""2 jaune d\'oeuf""', "" '200g  de sucre'"", "" '1/2l  de lait'"", "" ' Vanille'"", "" '125g  de farine'"", ' ""1cuillère à soupe  d\'huile""', "" '1cuillère à soupe  de rhum'"", "" ' Beurre']""]",recipe-infos__level__container--level-1,Cannelés rapides,10 personnes,00h55,Dessert,0,,2
34,recipe-infos__level__container--level-3,"[""['50cl  de lait'"", "" '2 oeuf'"", ' ""2 jaune d\'oeuf""', "" '1/2gousse  de vanille'"", "" '1cuillère à soupe  de rhum'"", "" '100g  de farine'"", "" '250g  de sucre en poudre'"", "" '50g  de beurre doux'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,Cannelés bordelais,16 personnes,1h30,Dessert,50,,2
35,recipe-infos__level__container--level-1,"[""['200g  de farine'"", "" '200g  de sucre'"", "" '2 oeuf'"", "" '1/2sachet  de levure'"", "" '1pot  de yaourt'"", "" '1cuillère à café  de gingembre'"", "" '1cuillère à café  de cannelle'"", "" ' Sel'"", "" '3 pomme']""]",recipe-infos__level__container--level-1,Muffins pomme cannelle gingembre,12 personnes,00h40,Dessert,0,,2
36,recipe-infos__level__container--level-2,"[""['500g  de fromage blanc'"", "" '50g  de beurre'"", "" '3 oeuf'"", "" '2 petit suisse'"", "" ' Sucre'"", "" '2cuillère à soupe  de farine'"", "" '1zeste  de citron'"", "" ' Citron'"", "" ' Vanille'"", "" '1/3paquet  de petit beurre'"", "" '2cuillère à soupe  de sucre roux']""]",recipe-infos__level__container--level-1,Cheesecake,6 personnes,1h05,Dessert,1,,3
37,recipe-infos__level__container--level-1,"[""['1kg  de fromage blanc'"", "" '4 oeuf'"", "" '125g  de sucre en poudre'"", "" '100g  de farine de blé'"", "" 'zeste  de citron'"", ' ""1cuillère à café  d\'extrait de vanille liquide""', "" '1 pâte sablée'"", "" ' Coulis de fruits rouges'"", "" '1 moules']""]",recipe-infos__level__container--level-1,Cheesecake facile,6 personnes,1h30,Dessert,0,,4
38,recipe-infos__level__container--level-1,"[""['1.2kg  de choucroute'"", "" '2 côte de porc'"", "" '2tranche  de viande'"", "" '200g  de lardons fumés'"", "" 'tranche  de bacon'"", "" '12 saucisse de Francfort'"", "" '3 saucisse'"", ' ""2cuillère à soupe  d\'huile d\'olive""', "" '1 oignon'"", "" '2 feuille de laurier'"", "" ' Thym'"", "" '2 clou de girofle'"", "" '10 genièvre'"", "" '15grain  de poivre'"", "" '2bonne cuillère  de cumin'"", "" '1bouteille  de riesling'"", "" '1cube  de poulet'"", "" ' Pomme de terre'"", ' ""1gousse  d\'ail""]']",recipe-infos__level__container--level-2,Choucroute,5 personnes,3h20,Plat principal,0,Yes,0
39,recipe-infos__level__container--level-3,"[""['3 pomme de terre'"", "" '200g  de choucroute'"", "" '1 oignon'"", "" '1 saucisse'"", "" '3fine tranche  de poitrine fumée'"", "" '40g  de beurre'"", "" '10cl  de vin blanc sec'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Maki de choucroute,4 personnes,00h55,Plat principal,40,Yes,0
40,recipe-infos__level__container--level-2,"[""['feuille  de chou'"", "" ' Chou'"", "" '25g  de sel'"", "" ' Genièvre']""]",recipe-infos__level__container--level-1,Choucroute ( préparation ),1 personnes,00h10,Plat principal,0,,0
41,recipe-infos__level__container--level-3,"[""['2kg  de choucroute'"", "" '1 palette'"", "" '1 porc'"", "" '6 saucisse'"", "" '4 saucisse de Montbéliard'"", "" '1 saucisse de morteau'"", "" '3tranche  de lard fumé'"", "" '1morceau  de boudin noir'"", "" '15 genièvre'"", "" '2 clou de girofle'"", "" '2 oignon'"", "" '2 pomme'"", "" '1 couenne'"", "" '1cuillère  de saindoux'"", "" '1l  de vin blanc'"", "" '2kg  de pomme de terre']""]",recipe-infos__level__container--level-2,Choucroute savernoise,8 personnes,10h00,Plat principal,0,Yes,0
42,recipe-infos__level__container--level-1,"[""['500g  de choucroute'"", "" '2 pomme de terre'"", "" '2 bouillon de volaille'"", "" '1 feuille de laurier'"", "" '200g  de lardons fumés']""]",recipe-infos__level__container--level-1,Soupe à la Choucroute,6 personnes,1h20,Plat principal,0,,0
43,recipe-infos__level__container--level-1,"[""['1.2kg  de choucroute'"", "" '2 côte de porc'"", "" '2tranche  de viande'"", "" '200g  de lardons fumés'"", "" 'tranche  de bacon'"", "" '12 saucisse de Francfort'"", "" '3 saucisse'"", ' ""2cuillère à soupe  d\'huile d\'olive""', "" '1 oignon'"", "" '2 feuille de laurier'"", "" ' Thym'"", "" '2 clou de girofle'"", "" '10 genièvre'"", "" '15grain  de poivre'"", "" '2bonne cuillère  de cumin'"", "" '1bouteille  de riesling'"", "" '1cube  de poulet'"", "" ' Pomme de terre'"", ' ""1gousse  d\'ail""]']",recipe-infos__level__container--level-2,Choucroute,5 personnes,3h20,Plat principal,0,Yes,0
44,recipe-infos__level__container--level-3,"[""['3 pomme de terre'"", "" '200g  de choucroute'"", "" '1 oignon'"", "" '1 saucisse'"", "" '3fine tranche  de poitrine fumée'"", "" '40g  de beurre'"", "" '10cl  de vin blanc sec'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Maki de choucroute,4 personnes,00h55,Plat principal,40,Yes,0
45,recipe-infos__level__container--level-2,"[""['feuille  de chou'"", "" ' Chou'"", "" '25g  de sel'"", "" ' Genièvre']""]",recipe-infos__level__container--level-1,Choucroute ( préparation ),1 personnes,00h10,Plat principal,0,,0
46,recipe-infos__level__container--level-3,"[""['2kg  de choucroute'"", "" '1 palette'"", "" '1 porc'"", "" '6 saucisse'"", "" '4 saucisse de Montbéliard'"", "" '1 saucisse de morteau'"", "" '3tranche  de lard fumé'"", "" '1morceau  de boudin noir'"", "" '15 genièvre'"", "" '2 clou de girofle'"", "" '2 oignon'"", "" '2 pomme'"", "" '1 couenne'"", "" '1cuillère  de saindoux'"", "" '1l  de vin blanc'"", "" '2kg  de pomme de terre']""]",recipe-infos__level__container--level-2,Choucroute savernoise,8 personnes,10h00,Plat principal,0,Yes,0
47,recipe-infos__level__container--level-1,"[""['500g  de choucroute'"", "" '2 pomme de terre'"", "" '2 bouillon de volaille'"", "" '1 feuille de laurier'"", "" '200g  de lardons fumés']""]",recipe-infos__level__container--level-1,Soupe à la Choucroute,6 personnes,1h20,Plat principal,0,,0
48,recipe-infos__level__container--level-1,"['[""1/4l  d\'eau""', "" '1/2cuillère à café  de sel'"", "" '1cuillère à soupe  de sucre en poudre'"", "" '80g  de beurre'"", "" '125g  de farine'"", "" '4 oeuf'"", "" ' Sucre']""]",recipe-infos__level__container--level-1,Chouquettes simples,40 personnes,00h40,Dessert,80,,4
49,recipe-infos__level__container--level-3,"[""['25cl  de lait'"", "" '110g  de beurre'"", "" '1/2cuillère à café  de sel'"", "" '100g  de farine'"", "" '40g  de maïzena'"", "" '4 oeuf'"", "" '160g  de roquefort'"", "" '120g  de crème fraîche']""]",recipe-infos__level__container--level-1,Chouquettes au roquefort,8 personnes,00h40,Amuse-gueule,110,,4
50,recipe-infos__level__container--level-3,"['[""12cl  d\'eau""', "" '12cl  de lait'"", "" '1cuillère à café  de sucre en poudre'"", "" '1cuillère à café  de sel'"", "" '110g  de beurre'"", "" '100g  de farine'"", "" '40g  de cacao'"", "" '4 oeuf'"", "" '100g  de chocolat']""]",recipe-infos__level__container--level-1,Chouquettes au chocolat,30 personnes,00h40,Confiserie,110,,4
51,recipe-infos__level__container--level-1,"[""['100g  de sucre semoule'"", "" '100g  de beurre'"", "" '100g  de chocolat'"", "" '1/2sachet  de levure chimique'"", "" '1sachet  de sucre vanillé'"", "" '1 oeuf'"", "" '150g  de farine']""]",recipe-infos__level__container--level-1,Cookies faciles,4 personnes,00h30,Dessert,100,,1
52,recipe-infos__level__container--level-2,"[""['100g  de beurre'"", "" '100g  de farine'"", "" '1pincée  de sel'"", ' ""1/2cuillère  d\'extrait de vanille""', ' ""1 blanc d\'oeuf""', "" '10g  de chocolat'"", "" '60g  de poudre de noisette'"", "" '100g  de sucre']""]",recipe-infos__level__container--level-2,Cookies,4 personnes,00h23,Dessert,100,,1
53,recipe-infos__level__container--level-2,"[""['200g  de chocolat noir'"", "" '150g  de beurre'"", "" '250g  de farine'"", "" '100g  de sucre en poudre'"", "" '1 miel'"", "" '1 extrait de vanille liquide'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,Cookies,8 personnes,00h22,Dessert,150,,0
54,recipe-infos__level__container--level-1,"[""['95g  de beurre'"", "" '90g  de cassonade'"", "" '1sachet  de sucre vanillé'"", "" '1 oeuf'"", "" '150g  de farine'"", "" '1/2cuillère à soupe  de levure'"", "" '1pincée  de sel'"", "" '2cuillère à soupe  de cacao'"", "" ' Chocolat'"", "" ' Noisette'"", "" ' Amande'"", "" ' Noix']""]",recipe-infos__level__container--level-1,Cookies tout chocolat,6 personnes,00h18,Dessert,95,,1
55,recipe-infos__level__container--level-3,"[""['2 courgette'"", "" '600g  de porc'"", "" ' Poivre'"", "" ' Sel'"", ' ""50g  d\'huile d\'olive""', "" '1 oignon'"", "" '20cl  de coulis de tomate'"", "" '50g  de fromage râpé']""]",recipe-infos__level__container--level-2,Courgettes farcies,4 personnes,1h10,Plat principal,0,Yes,0
56,recipe-infos__level__container--level-2,"[""['600g  de courgette'"", "" '400g  de pomme de terre'"", ' ""4gousse  d\'ail""', "" '200g  de comté'"", "" '20g  de beurre'"", "" '40cl  de crème fraîche épaisse'"", "" '15cl  de lait'"", "" '1pincée  de muscade'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-2,Dauphinois de courgettes,4 personnes,1h20,Accompagnement,20,,0
57,recipe-infos__level__container--level-1,"[""['4 courgette'"", "" '3 oignon'"", "" '100g  de gruyère râpé'"", "" '2 oeuf'"", "" '2cuillère à soupe  de crème fraîche'"", "" '1noix  de beurre'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Gratin de courgettes rapide,4 personnes,00h30,Accompagnement,1,Yes,2
58,recipe-infos__level__container--level-1,"[""['1kg  de courgette'"", "" '2portion  de vache qui rit®'"", "" '1 bouillon']""]",recipe-infos__level__container--level-1,Velouté de courgettes,2 personnes,00h25,Entrée,0,,0
59,recipe-infos__level__container--level-1,"[""['6 blanc de poulet'"", "" '12 merguez'"", ' ""4 côte d\'agneau""', "" '2boîte  de légume'"", "" '1petite boîte  de pois chiches'"", "" '1 épices'"", "" '2sachet  de semoule']""]",recipe-infos__level__container--level-1,Couscous rapide,6 personnes,2h10,Plat principal,0,,0
60,recipe-infos__level__container--level-1,"[""['2 oignon'"", "" '4 carotte'"", "" '3 navet'"", "" '4 courgette'"", "" '6 tomate'"", "" '8 merguez'"", ' ""8 côte d\'agneau""', "" '600g  de boeuf'"", "" '4 cuisse de poulet'"", "" ' Cumin'"", "" ' Paprika'"", "" ' Cannelle'"", "" ' Coriandre'"", "" ' Sel'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-1,Couscous sans couscoussier,8 personnes,2h00,Plat principal,0,Yes,600
61,recipe-infos__level__container--level-1,"[""['8 pilon de poulet'"", "" '12 merguez'"", ' "" Huile d\'olive""', "" '2boîte  de concentré de tomates'"", ' ""3cuillère à soupe  d\'épices à couscous""', ' ""1cuillère à café  d\'harissa""', "" '2 cube de bouillon'"", "" '3 tomate'"", "" '10 navet'"", "" '5 carotte'"", "" '2 courgette'"", "" '400g  de pois chiches']""]",recipe-infos__level__container--level-1,Couscous poulet et merguez facile,6 personnes,1h05,Plat principal,0,,0
62,recipe-infos__level__container--level-1,"[""['1boîte  de sauce tomate'"", "" ' Saucisse cocktail'"", "" '1boîte  de petit pois'"", "" ' Semoule'"", "" ' Beurre']""]",recipe-infos__level__container--level-1,Couscous pour les enfant,4 personnes,00h25,Plat principal,0,,0
63,recipe-infos__level__container--level-2,"[""['180g  de riz'"", "" '1.5dl  de vin blanc'"", "" '1/2 oignon'"", "" '1 fromage'"", "" ' Crème'"", "" ' Bouillon de volaille']""]",recipe-infos__level__container--level-1,Risotto crémeux,6 personnes,00h45,Plat principal,0,Yes,0
64,recipe-infos__level__container--level-1,"['[""1.5kg  d\'épinards""', "" '5cl  de crème fraîche'"", "" '30g  de beurre'"", "" '1pincée  de muscade'"", ' ""1gousse  d\'ail""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Epinards crémeux,6 personnes,00h25,Plat principal,30,,0
65,recipe-infos__level__container--level-2,"[""['40g  de beurre'"", "" '40g  de sucre en poudre'"", "" '40g  de crème fraîche']""]",recipe-infos__level__container--level-1,Caramel crémeux,4 personnes,00h17,Sauce,40,,0
66,recipe-infos__level__container--level-2,"[""['200g  de polenta'"", ' ""60cl  d\'eau""', "" ' Fleur de sel'"", "" '50g  de parmesan'"", "" '10cl  de crème fraîche']""]",recipe-infos__level__container--level-1,Polenta crémeuse,5 personnes,00h18,Accompagnement,0,,0
67,recipe-infos__level__container--level-1,"[""['1boîte  de poire'"", "" '12 palets bretons'"", "" '300g  de fromage blanc'"", "" '100g  de sucre'"", "" '2 oeuf'"", ' ""g  de poudre d\'amande""]']",recipe-infos__level__container--level-1,Crémeux au poires,8 personnes,00h35,Dessert,0,,2
68,recipe-infos__level__container--level-3,"[""['375g  de farine'"", "" '4 oeuf'"", ' ""2cuillère à soupe  d\'huile""', "" '2pincée  de sel'"", "" '50cl  de lait'"", "" '25cl  de bière'"", "" '2cuillère à soupe  de rhum'"", "" '20g  de beurre']""]",recipe-infos__level__container--level-2,Crêpes,6 personnes,00h10,Dessert,20,,4
69,recipe-infos__level__container--level-1,"[""['150g  de farine'"", "" '1 oeuf'"", "" '20cl  de lait'"", "" '2cuillère à soupe  de rhum']""]",recipe-infos__level__container--level-1,Crêpes faciles,2 personnes,00h10,Dessert,0,,1
70,recipe-infos__level__container--level-2,"[""['800g  de crevette rose'"", "" '2 carotte'"", "" '3 tomate'"", "" '10cl  de vin blanc sec'"", "" '20cl  de crème fraîche'"", "" '1cuillère à soupe  de maïzena'"", "" '20g  de beurre'"", "" '1 bouquet garni'"", "" '1 oignon'"", "" '1 citron vert'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Blanquette de crevettes,4 personnes,00h55,Plat principal,20,Yes,0
