,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
13,recipe-infos__level__container--level-2,"[""['1 aubergine'"", "" '20cl  de sauce bolognaise'"", "" '75g  de parmesan râpé']""]",recipe-infos__level__container--level-1,Aubergine à la parmesane,2 personnes,1h15,Plat principal,0,,0
14,recipe-infos__level__container--level-3,"[""['4 aubergine'"", "" '8feuille  de lasagnes'"", "" '500g  de coulis de tomate'"", "" '1 carotte'"", "" '1 oignon'"", "" '25g  de beurre'"", "" '25g  de farine'"", "" '50cl  de bouillon'"", "" '50g  de parmesan'"", "" '150g  de comté'"", "" ' Herbes de Provence'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-2,Lasagnes d'aubergines,4 personnes,1h40,Plat principal,25,Yes,0
15,recipe-infos__level__container--level-1,"[""['1 avocat'"", "" '2tranche  de truite'"", "" '100g  de fromage frais'"", "" '1/2 citron'"", "" '50g  de fromage ail et fines herbes'"", "" ' Ciboulette'"", ' ""1pot  d\'oeuf de truite""]']",recipe-infos__level__container--level-1,Verrine avocat-truite fumée,4 personnes,00h15,Entrée,0,,1
16,recipe-infos__level__container--level-1,"[""['2 avocat'"", "" '2 pomme de terre'"", "" '2 oeuf'"", "" '1boîte  de thon'"", "" '2 citron']""]",recipe-infos__level__container--level-1,Avocats Fourrés,4 personnes,00h20,Entrée,0,,2
17,recipe-infos__level__container--level-2,"[""['2 avocat'"", "" '1/2 jus de citron'"", "" '10cl  de crème liquide'"", "" '50cl  de bouillon de volaille'"", "" '1pincée  de muscade'"", "" '60g  de parmesan'"", "" '12brin  de ciboulette'"", "" '8feuille  de basilic'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Velouté d'avocat,4 personnes,00h25,Entrée,0,,0
18,recipe-infos__level__container--level-1,"[""['4tranche  de pain de mie'"", "" '6tranche  de fromage de chèvre'"", "" '2 avocat'"", "" ' Crème liquide'"", "" ' Fromage râpé']""]",recipe-infos__level__container--level-1,Cassolette d'avocat,4 personnes,00h15,Plat principal,0,,0
19,recipe-infos__level__container--level-2,"[""['2filet  de poisson'"", "" '1 tomate'"", "" '1 oignon'"", "" '2cuillère à café  de cardamome'"", "" '6 étoile de badiane'"", "" '3cuillère à soupe  de citronnelle'"", "" '2cuillère à café  de curry'"", "" '20cl  de lait de coco'"", "" '1pincée  de piment'"", "" '1pincée  de poivre'"", "" '1pincée  de sel'"", ' ""1filet  d\'huile d\'olive""]']",recipe-infos__level__container--level-1,Poisson Badiane,2 personnes,00h30,Plat principal,0,Yes,0
20,recipe-infos__level__container--level-1,"[""['450g  de canard'"", "" '1 oeuf'"", "" '120g  de chapelure'"", ' ""400g  d\'oignon""', ' ""2cuillère à café  d\'épices tandoori""', "" '2cuillère à café  de miel'"", "" '1cuillère à soupe  de vinaigre'"", "" '4gousse  de cardamome'"", "" '1 étoile de badiane'"", "" '1cuillère à café  de cannelle'"", "" '20g  de beurre']""]",recipe-infos__level__container--level-2,Canard à la badiane,4 personnes,00h35,Plat principal,20,Yes,1
21,recipe-infos__level__container--level-2,"[""['60cl  de crème liquide'"", "" '3 oeuf'"", "" '100g  de sucre'"", "" ' Sucre vanillé']""]",recipe-infos__level__container--level-1,Crèmes brûlées à la badiane,6 personnes,00h45,Dessert,0,,3
22,recipe-infos__level__container--level-2,"[""['30cl  de lait'"", "" '10cl  de crème liquide'"", "" '1bâton  de cannelle'"", "" '2 étoile de badiane'"", ' ""3 jaune d\'oeuf""', "" '2 oeuf'"", "" '80g  de sucre']""]",recipe-infos__level__container--level-1,Crème à la badiane et à la cannelle,5 personnes,1h15,Dessert,0,,2
23,recipe-infos__level__container--level-3,"[""['15cl  de lait entier'"", "" '20cl  de crème liquide'"", "" '80g  de sucre'"", ' ""4 jaune d\'oeuf""', "" '2 Fleurs']""]",recipe-infos__level__container--level-1,Crème Anglaise à la badiane,4 personnes,00h30,Sauce,0,,4
24,recipe-infos__level__container--level-2,"[""['3 banane'"", "" '200g  de farine'"", "" '200g  de sucre en poudre'"", "" '100g  de beurre'"", "" '3 oeuf'"", "" '1sachet  de sucre vanillé'"", "" '1/2sachet  de levure chimique'"", "" '1 citron'"", "" ' Beurre']""]",recipe-infos__level__container--level-1,Cake aux bananes,4 personnes,1h15,Dessert,100,,3
25,recipe-infos__level__container--level-1,"[""['3 banane'"", "" '75g  de sucre'"", "" '1 oeuf'"", "" '1cuillère à café  de bicarbonate'"", "" '1cuillère à café  de levure'"", "" '1/2cuillère à café  de sel'"", "" '150g  de farine'"", "" '70g  de beurre']""]",recipe-infos__level__container--level-1,Muffins à la banane,6 personnes,00h30,Dessert,70,,1
26,recipe-infos__level__container--level-1,"[""['300g  de thon'"", "" '1cuillère à soupe  de basilic'"", "" '2cuillère à soupe  de crème fraîche'"", "" '1cuillère à café  de moutarde'"", "" '1/2 citron'"", "" '2 petit suisse'"", "" ' Paprika'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Rillettes de thon au basilic,4 personnes,00h15,Entrée,0,,0
27,recipe-infos__level__container--level-1,['[]'],recipe-infos__level__container--level-1,comment conserver le basilic,1 personnes,00h10,Conseil,0,,0
28,recipe-infos__level__container--level-1,"[""['2 betterave'"", ' ""1gousse  d\'ail""', ' ""1cuillère à café  d\'huile d\'olive""', "" '2 yaourt'"", "" '1 concombre'"", "" ' Poivre'"", "" ' Sel'"", "" ' Concombre'"", "" ' Persil']""]",recipe-infos__level__container--level-1,Velouté froid de betteraves,4 personnes,00h35,Entrée,0,,0
29,recipe-infos__level__container--level-2,"[""[' Betterave'"", "" ' Eau'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Conserve de betterave,4 personnes,1h50,Accompagnement,0,,0
30,recipe-infos__level__container--level-1,"[""['1kg  de betterave'"", "" '750g  de sucre'"", ' ""15cl  d\'eau""', "" '2 citron']""]",recipe-infos__level__container--level-1,Confiture de betterave,4 personnes,00h55,Confiserie,0,,0
31,recipe-infos__level__container--level-3,"[""['4tranche  de jambon'"", "" '200g  de betterave'"", "" '100g  de fromage frais'"", "" ' Persil'"", "" '15g  de noix']""]",recipe-infos__level__container--level-1,Roulades de betteraves,4 personnes,00h15,Plat principal,0,,0
32,recipe-infos__level__container--level-2,"[""['1 pâte feuilletée'"", "" '1botte  de blette'"", "" '1 oignon'"", "" '1 oeuf'"", "" '10cl  de crème fleurette'"", "" '100g  de lardons'"", "" '30g  de riz rond'"", "" '1grosse poignée  de pignons'"", "" ' Poivre'"", "" ' Sel'"", ' "" Huile d\'olive""', "" '1poignée  de fromage râpé']""]",recipe-infos__level__container--level-1,tarte aux blettes,1 personnes,1h05,Entrée,0,Yes,1
33,recipe-infos__level__container--level-2,"[""['1botte  de blette'"", "" '2 échalote'"", "" '15cl  de vin blanc'"", "" '1 bouillon'"", "" ' Beurre'"", "" '20cl  de crème liquide']""]",recipe-infos__level__container--level-1,Sauce aux blettes,4 personnes,00h40,Sauce,0,,0
34,recipe-infos__level__container--level-1,"[""['5feuille  de blette'"", "" ' Lardons'"", "" ' Crème fraîche'"", "" ' Poivre'"", "" ' Sel'"", "" ' Muscade']""]",recipe-infos__level__container--level-1,Blettes à la crème,4 personnes,1h40,Plat principal,0,,0
35,recipe-infos__level__container--level-2,"[""['1 pâte brisée'"", "" '1botte  de blette'"", "" '100g  de lardons'"", "" '20cl  de crème fraîche'"", "" '3 oeuf'"", "" '50g  de gruyère râpé']""]",recipe-infos__level__container--level-1,Quiche aux blettes,4 personnes,1h15,Entrée,0,,3
36,recipe-infos__level__container--level-1,"[""[' Penne'"", "" '10 blette'"", "" '200g  de saucisse de Toulouse'"", "" '1 échalote'"", ' "" Huile d\'olive""', "" ' Parmesan'"", "" ' Poivre'"", "" ' Sel'"", "" ' Pâte']""]",recipe-infos__level__container--level-1,Penne aux blettes,2 personnes,00h30,Plat principal,0,,0
37,recipe-infos__level__container--level-1,"[""['4tranche  de blanc de poulet'"", "" '8tranche  de bacon'"", "" '4tranche  de fromage'"", "" '4cuillère à soupe  de farine'"", "" '4cuillère à soupe  de chapelure'"", "" '1 oeuf'"", "" '20g  de beurre']""]",recipe-infos__level__container--level-1,Cordon bleu,4 personnes,00h18,Plat principal,20,,1
38,recipe-infos__level__container--level-1,"[""['2 gin'"", "" 'cuillère à café  de curaçao'"", ' "" Jus d\'ananas""]']",recipe-infos__level__container--level-3,Bleu d'azur,1 personnes,00h3,Boisson,0,,0
39,recipe-infos__level__container--level-2,"[""['2 escalope de poulet'"", "" '3 échalote'"", "" '50g  de bleu'"", "" '3grosse cuillère à soupe  de crème fraîche'"", "" '10g  de beurre'"", "" '1cuillère à café  de farine'"", "" ' Sel'"", "" ' Poivre'"", "" ' Persil']""]",recipe-infos__level__container--level-1,Poulet au bleu,2 personnes,00h25,Plat principal,10,,0
40,recipe-infos__level__container--level-1,"[""['1kg  de pomme de terre'"", "" '1/4l  de lait'"", "" '100g  de beurre'"", "" '100g  de fromage'"", "" '1 oeuf'"", "" '1 oignon'"", "" '1bouquet  de persil'"", "" ' Chapelure'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Parmentier bleu,4 personnes,00h50,Plat principal,100,Yes,1
41,recipe-infos__level__container--level-1,"[""['800g  de boeuf'"", "" '100g  de lardons'"", "" '50g  de beurre'"", "" '2/3l  de vin rouge'"", "" '2 oignon'"", ' ""1gousse  d\'ail""', "" '2cuillère à soupe  de farine'"", "" '1 bouquet garni'"", "" '250g  de champignon de Paris'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-2,Boeuf Bourguignon rapide,6 personnes,1h10,Plat principal,50,Yes,800
42,recipe-infos__level__container--level-2,"[""['600g  de bourguignon'"", "" '4 oignon'"", "" '4 carotte'"", "" '1 bouquet garni'"", "" '1bouteille  de vin rouge'"", "" '100g  de beurre'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-2,Boeuf bourguignon,4 personnes,6h00,Plat principal,100,Yes,0
43,recipe-infos__level__container--level-1,"[""['1kg  de brocoli'"", "" '2 oignon'"", "" '1.5l  de bouillon de volaille'"", "" '1 bouquet garni'"", "" '2.5dl  de crème'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Velouté de brocolis,6 personnes,00h45,Entrée,0,Yes,0
44,recipe-infos__level__container--level-1,"[""['1kg  de brocoli'"", "" '1/2l  de lait'"", "" '150cl  de crème fraîche'"", ' ""150g  d\'emmental""', "" ' Muscade'"", "" '2cuillère à soupe  de farine'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Gratin de brocolis rapide,4 personnes,00h26,Accompagnement,0,,0
45,recipe-infos__level__container--level-1,"[""['1 brocoli'"", "" '250g  de viande'"", "" '2 oignon'"", ' ""2gousse  d\'ail""', "" '75g  de gruyère'"", "" ' Crème fraîche'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Parmentier aux brocolis,4 personnes,00h30,Plat principal,0,Yes,0
46,recipe-infos__level__container--level-2,"[""['1bouquet  de brocoli'"", "" '250g  de lasagnes'"", "" '1petit pot  de crème fraîche'"", "" '1 carotte'"", "" '1bouquet  de coriandre'"", "" '2pincée  de cumin'"", ' "" Huile d\'olive""', "" ' Parmesan râpé'"", "" '1 bûche de chèvre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Lasagnes aux brocolis,3 personnes,1h20,Plat principal,0,,0
47,recipe-infos__level__container--level-2,"[""['1 butternut'"", "" '1 oignon'"", "" '1 cube de bouillon'"", "" '1cuillère à soupe  de crème fraîche'"", "" '1pincée  de cannelle']""]",recipe-infos__level__container--level-1,Velouté de butternut à la cannelle,4 personnes,00h35,Entrée,0,Yes,0
48,recipe-infos__level__container--level-3,"[""['200g  de butternut'"", "" '1 oignon blanc'"", ' ""1gousse  d\'ail""', "" '150g  de farine'"", "" '5g  de levure'"", "" '1 oeuf'"", "" '12.5cl  de lait'"", "" '3branche  de persil'"", "" ' Sel'"", "" ' Poivre'"", "" '1pincée  de piment'"", "" ' Huile de friture']""]",recipe-infos__level__container--level-1,Accras de Butternut,20 personnes,1h37,Entrée,0,Yes,1
49,recipe-infos__level__container--level-1,"[""['1 courge'"", "" '100g  de beurre'"", "" ' Cannelle'"", "" ' Sucre en poudre']""]",recipe-infos__level__container--level-1,Butternut à la cannelle,3 personnes,1h20,Dessert,100,,0
50,recipe-infos__level__container--level-1,"[""['2 courge'"", ' ""1l  d\'eau""', "" '1briquette  de crème fraîche'"", "" ' Poivre'"", "" ' Sel'"", "" '1 bouillon'"", "" ' Persil'"", "" ' Fruit de mer'"", "" ' Curry'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-2,Crème de butternut,4 personnes,00h35,Entrée,0,,0
51,recipe-infos__level__container--level-2,"[""['3kg  de carpe'"", "" '1l  de bière'"", "" '1 citron'"", "" '2cuillère à soupe  de gros sel'"", "" '3cuillère à soupe  de farine'"", ' ""1l  d\'huile de friture""]']",recipe-infos__level__container--level-1,Friture de carpe,4 personnes,1h20,Plat principal,0,,0
52,recipe-infos__level__container--level-1,"[""['1 carpe'"", "" '1 citron vert'"", "" '1 tomate'"", "" '2 oignon'"", "" ' Huile']""]",recipe-infos__level__container--level-1,Carpe au four,4 personnes,00h30,Plat principal,0,Yes,0
53,recipe-infos__level__container--level-2,"[""['1 carpe'"", "" ' Oeuf'"", "" '1bouquet  de persil'"", "" '2 oignon'"", ' ""2gousse  d\'ail""', ' "" Huile d\'olive""', "" '3cuillère à soupe  de farine'"", "" ' Gingembre'"", "" '30cl  de crème fraîche'"", "" '300g  de champignon de Paris'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Carpe à l'alsacienne,4 personnes,1h00,Plat principal,0,Yes,0
54,recipe-infos__level__container--level-1,"[""['1 carpe'"", "" ' Semoule'"", "" '1 citron'"", "" ' Salade'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,carpe frite,4 personnes,00h16,Plat principal,0,,0
55,recipe-infos__level__container--level-2,"[""['1 carpe'"", "" '1l  de vin rouge'"", "" '1gros bouquet  de persil'"", ' ""4gousse  d\'ail""', "" '125g  de beurre'"", "" '2cuillère à soupe  de farine'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Carpe au beurre rouge,5 personnes,00h50,Plat principal,125,,0
56,recipe-infos__level__container--level-1,"[""['12 carotte'"", "" '50g  de beurre'"", "" '15g  de sucre'"", "" '1cube  de bouillon']""]",recipe-infos__level__container--level-1,Carottes vichy,4 personnes,00h40,Plat principal,50,,0
57,recipe-infos__level__container--level-1,"[""['300g  de carotte'"", "" '2 oeuf'"", "" '65g  de fromage'"", "" '25g  de fécule de pomme de terre'"", "" '45g  de gruyère râpé'"", "" ' Poivre'"", "" ' Sel'"", "" ' Persil']""]",recipe-infos__level__container--level-1,Flan de carottes,6 personnes,1h10,Accompagnement,0,,2
58,recipe-infos__level__container--level-1,"[""['6 carotte'"", ' ""2 jaune d\'oeuf""', "" '1 oignon'"", "" '4cuillère à soupe  de crème fraîche'"", "" '100g  de lardons fumés'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Carottes à la carbonara,2 personnes,00h25,Plat principal,0,Yes,2
59,recipe-infos__level__container--level-1,"[""['6 carotte'"", "" '1 pomme de terre'"", "" ' Poivre'"", "" ' Sel'"", "" '1noisette  de beurre'"", "" '2cuillère à soupe  de crème fraîche épaisse'"", "" '1cuillère à café  de cumin'"", "" '1pincée  de muscade']""]",recipe-infos__level__container--level-1,Purée de carottes,4 personnes,00h25,Accompagnement,1,,0
60,recipe-infos__level__container--level-2,"[""['1kg  de cassis'"", "" '1poignée  de feuilles de cassis'"", "" '200g  de framboise'"", ' ""1l  d\'Alcool""', "" '2g  de cannelle'"", "" '2 clou de girofle'"", "" '750g  de sucre'"", ' ""1l  d\'eau""]']",recipe-infos__level__container--level-1,Liqueur de cassis,3 personnes,00h30,Boisson,0,,0
61,recipe-infos__level__container--level-3,"[""['1kg  de cassis'"", "" '1kg  de sucre']""]",recipe-infos__level__container--level-1,Sirop de cassis,1 personnes,00h20,Boisson,0,,0
62,recipe-infos__level__container--level-2,"[""['200g  de cassis'"", "" '1 pomme'"", "" '20cl  de crème fraîche épaisse'"", "" '25g  de raisins secs'"", "" '2sachet  de sucre vanillé'"", "" '50g  de sucre'"", ' ""1 jaune d\'oeuf""', "" ' Arôme'"", "" '1cuillère à soupe  de maïzena']""]",recipe-infos__level__container--level-1,Crème au cassis,3 personnes,00h25,Dessert,0,,1
63,recipe-infos__level__container--level-2,"['[""190g  de poudre d\'amande""', "" '310g  de sucre glace'"", ' ""150g  de blanc d\'oeuf""', "" '95g  de sucre semoule'"", "" 'goutte  de colorant'"", "" '250g  de confiture']""]",recipe-infos__level__container--level-1,Macarons au cassis,45 personnes,1h00,Dessert,0,,150
64,recipe-infos__level__container--level-2,"[""['110g  de beurre'"", "" '110g  de sucre'"", "" '2 oeuf'"", "" '125g  de fromage blanc'"", "" '300g  de farine'"", "" '2cuillère à café  de levure chimique'"", "" '2cuillère à soupe  de jus de citron'"", "" '250g  de cassis']""]",recipe-infos__level__container--level-1,Muffins au cassis,12 personnes,00h55,Dessert,110,,2
65,recipe-infos__level__container--level-1,"[""['1 céleri-rave'"", "" '1 oignon'"", "" '1/2cuillère à café  de sel de céleri'"", "" 'zeste  de citron'"", "" '1 brique'"", ' ""2 jaune d\'oeuf""', "" '1 cube de bouillon'"", ' ""1l  d\'eau""', "" ' Poivre']""]",recipe-infos__level__container--level-1,Crème de céleri,4 personnes,1h15,Entrée,0,Yes,2
66,recipe-infos__level__container--level-2,"[""['2boule  de céleri'"", "" ' Huile'"", "" ' Poivre'"", "" ' Sel'"", "" ' Panure']""]",recipe-infos__level__container--level-1,Escalopes de céleri,4 personnes,00h40,Plat principal,0,,0
67,recipe-infos__level__container--level-1,"[""['1 céleri'"", "" '1 pâte feuilletée'"", "" '1 carotte'"", "" '1 courgette'"", "" ' Huile']""]",recipe-infos__level__container--level-1,Tatin de Céleri,4 personnes,00h55,Accompagnement,0,,0
68,recipe-infos__level__container--level-1,"[""['1 céleri-rave'"", "" '25g  de mayonnaise'"", "" '1cuillère à café  de moutarde de dijon'"", "" '1cuillère à soupe  de persil'"", "" '1cuillère à café  de basilic'"", "" '1 cornichon'"", "" '2cuillère à soupe  de câpres'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Celeri rémoulade,4 personnes,00h36,Entrée,0,,0
69,recipe-infos__level__container--level-2,"[""[' Pâte brisée'"", "" '1noix  de beurre'"", "" '4 cèpe'"", "" ' Champignon de Paris'"", "" ' Poivre'"", "" ' Sel'"", "" ' Muscade'"", ' ""1/2gousse  d\'ail""', "" '1dl  de crème fraîche'"", "" 'tranche  de jambon'"", "" '2 oeuf'"", "" '1poignée  de gruyère râpé']""]",recipe-infos__level__container--level-2,Quiche aux cèpes,4 personnes,1h20,Entrée,1,,2
70,recipe-infos__level__container--level-2,"[""['15feuille  de lasagnes'"", "" '50cl  de crème fraîche'"", "" '300g  de cèpe'"", "" '250g  de parmesan'"", "" '3 échalote'"", "" '30cl  de vin blanc'"", "" '20g  de beurre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Lasagnes aux cèpes,4 personnes,00h50,Plat principal,20,,0
71,recipe-infos__level__container--level-1,"['[""2cuillère à soupe  d\'huile d\'olive""', "" '1/2 oignon'"", "" ' épices'"", "" '125g  de riz'"", "" '10cl  de crème'"", "" '75g  de parmesan'"", "" '1 cube de bouillon'"", "" '25g  de beurre'"", "" '5cl  de vin blanc'"", "" '200g  de cèpe']""]",recipe-infos__level__container--level-2,Risotto aux cèpes très facile,2 personnes,1h30,Plat principal,25,Yes,0
72,recipe-infos__level__container--level-2,"[""['300g  de tagliatelle'"", "" '300g  de cèpe'"", ' ""3gousse  d\'ail""', "" '2cuillère à soupe  de persil'"", "" '20cl  de crème fraîche épaisse'"", "" '30g  de beurre'"", ' ""1cuillère à soupe  d\'huile de noix""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Tagliatelles aux cèpes,4 personnes,00h40,Plat principal,30,,0
73,recipe-infos__level__container--level-2,"[""['300g  de cèpe'"", "" '2 échalote'"", "" '30g  de beurre'"", "" '1cuillère à soupe  de maïzena'"", "" '1cuillère à soupe  de madère'"", "" '75cl  de bouillon de poule'"", ' ""2 jaune d\'oeuf""', "" ' Ciboulette']""]",recipe-infos__level__container--level-1,Velouté de cèpes,4 personnes,00h45,Entrée,30,,2
74,recipe-infos__level__container--level-1,"[""['1 cerfeuil'"", "" '2 oignon'"", ' ""1gousse  d\'ail""', "" '2 clou de girofle'"", "" '20g  de beurre'"", "" ' Thym'"", "" ' Laurier'"", "" '1verre  de vin blanc'"", "" '1verre  de bouillon de volaille'"", "" '1pincée  de farine'"", "" ' Cerfeuil']""]",recipe-infos__level__container--level-1,Cerfeuil tubéreux,4 personnes,00h40,Accompagnement,20,Yes,0
75,recipe-infos__level__container--level-1,"[""['1 oignon'"", "" '1pot  de cerfeuil'"", ' ""1l  d\'eau""', "" '1/2l  de lait'"", "" '30g  de matière grasse'"", "" '5 pomme de terre']""]",recipe-infos__level__container--level-1,Crème de cerfeuil,6 personnes,1h00,Entrée,0,Yes,0
76,recipe-infos__level__container--level-2,"[""['3 laitue'"", "" '75cl  de lait'"", "" '75g  de farine'"", "" '45g  de beurre'"", "" '40g  de crème épaisse'"", "" '1/2bouquet  de cerfeuil'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Velouté de laitue au cerfeuil,6 personnes,00h45,Entrée,45,,0
77,recipe-infos__level__container--level-1,"[""['2 boeuf'"", "" '12 pomme de terre'"", "" ' Thym'"", "" ' Cerfeuil'"", "" ' Persil'"", "" ' Poivre'"", "" ' Sel'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-1,Côte de boeuf parfumée au cerfeuil,4 personnes,00h30,Plat principal,0,,2
78,recipe-infos__level__container--level-1,"[""['1botte  de navet'"", "" '1bloc  de cerfeuil'"", "" '1 bouillon'"", ' ""1l  d\'eau""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Soupe aux navets et cerfeuil,4 personnes,00h45,Entrée,0,,0
79,recipe-infos__level__container--level-1,"[""['600g  de cerise'"", "" '40g  de beurre'"", "" '4 oeuf'"", "" '20cl  de lait'"", "" '100g  de farine'"", "" '60g  de sucre en poudre'"", "" '1sachet  de sucre vanillé'"", "" '1pincée  de sel'"", "" ' Sucre glace']""]",recipe-infos__level__container--level-1,Clafoutis grand-mère aux cerises,8 personnes,00h40,Dessert,40,,4
